8.01689E+17,; suka tau jual diri. Hahahahahaa. 😂😂😂,"24 November 2016, 07:27:00",0,,JUALAN,BUKAN,TOTAL
8.01673E+17,@ianzainal @rinnyjamss pemilik tanah pon banyak kaum dorang juga. Asalnya mungkin tanah tu milik bumiputera tapi banyak yang jual dekat cina,"24 November 2016, 06:26:43",0,,,,
8.0169E+17,@icedcoffee1412 owe mager beli tiket lg kak 😂😂 dan mesti jual yg sg dooong,"24 November 2016, 07:34:34",0,,,,
8.01648E+17,@iDhiyaaa la yeke? Okay2. Tunggu la i byk duit boleh la bg phone yg jual kt pasar malam sekali tekan bunyi lagu tu haha.,"24 November 2016, 04:47:33",0,,,,
8.01691E+17,@ieinismail mana jual ni,"24 November 2016, 07:38:07",0,,,,
8.01651E+17,"@iitsibarani_ it, di kampusku ada yang jual cilok, cireng, cimol, cilor, emang ada berapa macem si?","24 November 2016, 04:58:10",0,,,,
8.01641E+17,@ikriza haah hbis dahhhh ... Kretif market tu mcm artworks kita .. Kita pos then jual,"24 November 2016, 04:19:57",0,,,,
8.01682E+17,"@Ilmannnn uishhh bell bullit helmet tu man, vintage style. Jual kayo tu man hahaha","24 November 2016, 07:00:03",0,,,,
8.01648E+17,"@imisocialcare1 saya mau tanya kurs jual mba, boleh dibantu?","24 November 2016, 04:45:04",0,,,,
8.0168E+17,@Imran_NegR nanti dia cari kau punya bro gentle kau rilek je. Tapi jangan ah pergi kat dia balik kau jual mahal ah pulak dekat dia,"24 November 2016, 06:52:10",0,,,,
8.01642E+17,"@IndosatCare itu kak, biasanya dulu banyak yg jual 10,3 GB sampai 20 GB, sekarang kok cuma sampai 6GB? https://t.co/RZVkBfHJ6b","24 November 2016, 04:20:02",0,,,,
8.01668E+17,"@IndriHndyn_ iya mngknya itu !!! kmrn cece ku jual samsung j5 aja cuma dpt 1,3 doang blinya aja brpa j5 dlu ,kan syng gak sbnding-_-","24 November 2016, 06:06:50",0,,,,
8.0164E+17,"@IndriHndyn_ kalau di jual anjok tkutny , mngknya gak bolehn di jual ;(","24 November 2016, 04:13:19",0,,,,
8.01651E+17,@infomalang minta tolong info tempat jual clana joger dengan sgala ukuran dong dan harganya terjangkau,"24 November 2016, 04:57:32",0,,,,
8.01647E+17,"@iniOnter Selamat Pagi, mohon informasi lebih lanjut apakah kurs beli atau kurs jual USD?  Terima Kasih -Nada","24 November 2016, 04:43:39",0,,,,
8.01649E+17,@iniOnter untuk kurs jual per hari ini 24 nov 2016 pukul 12.00 adalah xxx Terima Kasih -bemo,"24 November 2016, 04:49:16",0,,,,
8.01675E+17,@iqhwansmoker1 dah jual tix dah long . End up menyesal hahaha,"24 November 2016, 06:33:52",0,,,,
8.01687E+17,"@iqnasyuhada mahaaaall coy, 20-35 dollar an,mauuuuuu tp di indo gak ada yg jual kyknya 😂","24 November 2016, 07:19:02",0,,,,
8.01651E+17,@irfanazriachil hidup abam  jual goreng pisang laku sampai orang beratur 3 line 😌,"24 November 2016, 04:58:03",0,,,,
8.01645E+17,@Irfun23 @FarisImran39 pelancau kalau dah free nak jual ape lagi sial ?,"24 November 2016, 04:34:53",0,,,,
8.01644E+17,@Irfun23 sapa jual,"24 November 2016, 04:28:26",0,,,,
8.01664E+17,@iwanahalim1 masa musim durian ada pakcik jual durian kat area tu.,"24 November 2016, 05:49:09",0,,,,
8.0167E+17,@IzynKQuinn hahaha sama ah. Kalau boleh baju pun aku nak jual 😂,"24 November 2016, 06:11:29",0,,,,
8.01687E+17,"@izzatiznl haaa teluk ketapang. Tp x psti la ade ke tak 😂 kalau kt manir tu confirm ade. Hari sabtu pg ade pasar kt situ, ramai je org jual","24 November 2016, 07:21:16",0,,,,
8.01686E+17,@izzatiznl kuih seri muka and kuih talam mksedare ak jual. Tp kene order la. Die kire by loyang. Ke kau nk mkn seketul dua je? 😂,"24 November 2016, 07:16:40",0,,,,
8.01642E+17,@jannahlaaaa jual 😂,"24 November 2016, 04:22:58",0,,,,
8.01648E+17,"@jbtukmu cheya mau jual hati, ditawar harga berapa opp?","24 November 2016, 04:45:23",0,,,,
8.01691E+17,@jhahbhrin nape nk jual?,"24 November 2016, 07:37:05",0,,,,
8.01636E+17,@jieyeon_ kirain tukang fotokopi jual juga /?,"24 November 2016, 03:58:08",0,,,,
8.01669E+17,@jjkkok boleh boleh. Asal jangan jual beli organ tubuh wkwk,"24 November 2016, 06:08:18",0,,,,
8.0167E+17,@jjkkok jual lu kayanya laku kook wkwk,"24 November 2016, 06:12:56",0,,,,
8.01673E+17,@jjongliette jual negara kak. Ntar kita undang shinee ke indonesia. Tp private party. Cm gue ama lu doang yg nonton /? 😂🔫,"24 November 2016, 06:23:36",0,,,,
8.01641E+17,"@JoshuaKovanov iya, ga masuk skema permainan jadi jual aja. oiya, itu mungkin semacam bug yaa. di FMM 17 ini kalo cedera bulanan emang.","24 November 2016, 04:19:12",0,,,,
8.0164E+17,"@JoshuaKovanov jual aja 😁 kalo gak laku2, release aja..","24 November 2016, 04:14:48",0,,,,
8.01647E+17,@Joshuua17 gak mau dia jual mahal,"24 November 2016, 04:41:08",0,,,,
8.01661E+17,"@Joskerc itu foll 3.7k+ tweetnya doang dikit soalnya gak ngecheat, gua jual 50k udah pas","24 November 2016, 05:38:03",0,,,,
8.01689E+17,@JulesJulietta kucing kita penah sakit kak jules. Jual habis camera. Mn2 harta yg ada nak topup duit pegi vet 😞saya pun pikir mcm kak jules,"24 November 2016, 07:28:57",0,,,,
8.01679E+17,"@JulesJulietta tulah. tp ada kes kann. Doctor. Gaji 25k sebulan. tpi Hutang kad kredit 800k. ada rumah 3, APKP suruh jual xnak. jatuh status","24 November 2016, 06:48:09",0,,,,
8.0164E+17,@junniekahying u need to build ur own library at home lah hehehe. Ssh nak jual book on9 i think how bout flea market,"24 November 2016, 04:13:57",0,,,,
8.01658E+17,@KaeyNisa kak khai.  Brp ni jual,"24 November 2016, 05:24:28",0,,,,
8.01671E+17,@karmenlunarxisc i jual satu paket,"24 November 2016, 06:17:41",0,,,,
8.0168E+17,@kasimfvckgleman @adynurdin @acapppppppppp pegi tak kal.. aku nak gi jumpe tukang jual tiket..,"24 November 2016, 06:53:12",0,,,,
8.01646E+17,@KemensetnegRI tdk mampu ngurus negeri..mundur aja..p. Prabowo ambil alih kekuasaan jangan biarkan negeri ini di jual belikan asing...,"24 November 2016, 04:37:09",0,,,,
8.01682E+17,"@KhairulLiyana_ ""ni kakak celcom ke yg jual broadband tu?"" HAHHAHAHAHA","24 November 2016, 06:59:09",0,,,,
8.01642E+17,"@khairunnisabtj ada 3 branch, boleh weh suruh haziq jadi business partner dia 😂 kau tukang jual sekali dgn tudung nisa 😂","24 November 2016, 04:20:33",0,,,,
8.01668E+17,@kimikido69 haha . Sedap kate kt orang dia haha . Jgn jual mahal mi😂,"24 November 2016, 06:03:39",0,,,,
8.01652E+17,@kompascom nomor dua yang masuk akal ngga muluk2 dan bukan tukang jual kecap sama jual obat.,"24 November 2016, 05:00:32",0,,,,
8.01683E+17,@kompascom udah jadi rusunami trus jual lagi n pindah ke kumuh lagi. Gua juga mau kalau gitu jadi pengusaha rusunami. Mau kaya?  KERJAAAAAA,"24 November 2016, 07:05:27",0,,,,
8.01667E+17,@kownnnnn alaa. Dah jual kat abajahh,"24 November 2016, 06:03:16",0,,,,
8.01663E+17,@KuantanTV salam ada sesiapa nak beli tiket bas KUANTAN - TBS (KL) pukul 10.30pm 25/11/2016. Harga asal RM24 harga jual RM20. Sebarkan yee,"24 November 2016, 05:44:20",0,,,,
8.01634E+17,@KuantanTV siapa ada jual pallazo boot cut dm me 😁,"24 November 2016, 03:48:29",0,,,,
8.01634E+17,@KurtKickers haa okay klu die nk jual lelong nnt i roger..,"24 November 2016, 03:48:32",0,,,,
8.01632E+17,@KurtKickers huhuhu ade org nk jual bib hm rm40 mahu?,"24 November 2016, 03:41:46",0,,,,
8.01643E+17,@kylaazman bile? Tiket dh jual ke?? Serius??,"24 November 2016, 04:27:03",0,,,,
8.01673E+17,"@LadyZwolf @FunJunkies hallo kak twel dan tante mai, punya rekomen os trusted yg jual nature republic aloe vera ori… https://t.co/8yibaJT7yL","24 November 2016, 06:26:09",0,,,,
8.01651E+17,@lah_oscar hahaa aku tlg jual jaaa laaa. Haha,"24 November 2016, 04:57:10",0,,,,
8.01677E+17,@lampuhias2 @iskandarwijay17 saya mau jual batu gambar bisa tidak,"24 November 2016, 06:41:00",0,,,,
8.01675E+17,@lastikbintang7 ada org nak jual bengkel cat dia kat gombak,"24 November 2016, 06:31:46",0,,,,
8.0169E+17,@LazadaIDCare siap mba dona. lazada jual kue dongkal ga yah?,"24 November 2016, 07:33:34",0,,,,
8.01664E+17,@leeayussof sis jual ape?,"24 November 2016, 05:49:02",0,,,,
8.01649E+17,@LenovoMobileID VIBE P2 bakal d jual d indonesia ngak min??? Kapan d jualny min???,"24 November 2016, 04:49:01",0,,,,
8.01649E+17,"@Liputan9 Download Uttaran, jadiin kaset jual ke emak emak.. Kau tau, ini bisa menjadi bisnis yg besar","24 November 2016, 04:49:12",0,,,,
8.01639E+17,"@Liputan9 jual lagi, beli koneksi proper unlimited.","24 November 2016, 04:08:20",0,,,,
8.01639E+17,@liyanathecat hahah Takde space nak Macam mana XD I banyak buku NAK jual Tapi Takde org beli pin,"24 November 2016, 04:10:15",0,,,,
8.01688E+17,@liyayunus saya nak jual hati gak mcm awak la,"24 November 2016, 07:25:48",0,,,,
8.01634E+17,"@lowgueend @irghaqq yaudah asal jangan jual narkoba bang, kasian Indonesia","24 November 2016, 03:50:43",0,,,,
8.0165E+17,@ltunatkh jahatnya u tun. Tp member i jual tun 😋,"24 November 2016, 04:52:16",0,,,,
8.01648E+17,@luckyno_08 okay gakkk. Mesti laku giler kalau aku jual. Nanti femes la aku viral di media sosial hahahah,"24 November 2016, 04:46:55",0,,,,
8.01652E+17,@lutfilhazim yessss nak satu pie🐈 ke nak jual anak anak dia nanti,"24 November 2016, 05:02:58",0,,,,
8.01639E+17,@m_daughter9xx hahahahaha.  Ehh marah pulakkk. Kena jual kang.  😂😂😂😂,"24 November 2016, 04:09:54",0,,,,
8.01666E+17,@MambangStory dia jual gini. And the price list. https://t.co/KbZbL2DVJ9,"24 November 2016, 05:56:54",0,,,,
8.01689E+17,@masmona__ tak sampai 500 pon kalau jual acc aku. Biar lah perap lama². Hahaha kau gi kahwin cepat. Baru boleh habiskan duit dia. Hahahahaha,"24 November 2016, 07:29:12",0,,,,
8.01687E+17,"@mayangdany tapi pakcik ni tak tahu, salah sorang anak dia pencuri 😭😭 pakcik pagi jual kuih, petang potong rumput. Anak dua dua penagih","24 November 2016, 07:20:04",0,,,,
8.01651E+17,@mdzikriiii psl kau jual kr tk jiwe aku uh,"24 November 2016, 04:57:07",0,,,,
8.01688E+17,"@MedioTech bukan ekeu yg jual, ada orang Garut jual... saya baru minta dikirimin :P","24 November 2016, 07:26:09",0,,,,
8.01687E+17,"@MedioTech di toped ada yg jual, orang Garut... :D  Aa minta kado ini lho ama Banggood :P","24 November 2016, 07:21:11",0,,,,
8.0165E+17,@meerayangmans hahaha aku pon gurau ja..hg la an jual pau tu 😂,"24 November 2016, 04:55:41",0,,,,
8.01653E+17,@meerayangmans rajin betoi tlg jual..ingtkan bg free ja mcm eskrem haha,"24 November 2016, 05:06:06",0,,,,
8.01671E+17,"@melctra aku terapin sistem begini taun ini. taun2 sebelomnya, mau 60 ya beli 60. berakhir kasih/jual. skg mau 60 beli cuma 4 :))","24 November 2016, 06:15:24",0,,,,
8.01655E+17,@Menissandre konon dari kilang special sikit la. Yg jual 'authentic' brushes tu betul ke? I saw 3 insta dah jual brushes brand semua best.,"24 November 2016, 05:13:44",0,,,,
8.0165E+17,@metafack pastu jual balik,"24 November 2016, 04:52:54",0,,,,
8.01643E+17,"@metafack peh, boleh jual balik ni. yg lain2 brapa?","24 November 2016, 04:26:36",0,,,,
8.0163E+17,"@metafack weiii...berbaloi. Nanti free aku pergi. beli 3-4 bag, simpan setahun. Jual kat KLKIX. hahaha","24 November 2016, 03:35:53",0,,,,
8.01684E+17,@mhdyusri0922 jual lah yus hehe,"24 November 2016, 07:10:10",0,,,,
8.01682E+17,@mi2_vero emang jual brapa mih,"24 November 2016, 07:01:56",0,,,,
